AL,2012,4,278.71
AL,2013,1,275.83
AL,2013,2,276.57
AL,2013,3,275.95
AL,2013,4,274.54
AL,2014,1,277.06
AL,2014,2,278.48
AL,2014,3,281.12
AL,2014,4,283.28
AL,2015,1,285.67
AL,2015,2,287.28
AL,2015,3,289.8
AL,2015,4,291.15
AL,2016,1,292.71
AL,2016,2,296.74
AL,2016,3,301.71
AL,2016,4,301.46
AL,2017,1,302.67
AL,2017,2,308.07
AL,2017,3,310.59
AR,1975,1,66.66
AR,1975,2,60.36
AR,1975,3,65.15
AR,1975,4,62.95
AR,1976,1,66.72
AR,1976,2,68.39
AR,1976,3,71.18
AR,1976,4,72.94
AR,1977,1,73.28
AR,1977,2,75.16
AR,1977,3,78.65
AR,1977,4,81.35
AR,1978,1,81.41
AR,1978,2,83.15
AR,1978,3,85.87
AR,1978,4,85.73
AR,1979,1,92.38
AR,1979,2,95.37
AR,1979,3,100.01
AR,1979,4,101.72
AR,1980,1,100
AR,1980,2,101.44
AR,1980,3,106.4
AR,1980,4,108.48
AR,1981,1,109.38
AR,1981,2,106.73
AR,1981,3,110.39
AR,1981,4,102.46
AR,1982,1,103.59
AR,1982,2,106.07
AR,1982,3,110.85
AR,1982,4,108.88
AR,1983,1,113.05
AR,1983,2,116.98
AR,1983,3,118.04
AR,1983,4,118.24
AR,1984,1,120.31
AR,1984,2,118.37
AR,1984,3,119.27
AR,1984,4,120.89
AR,1985,1,121.35
AR,1985,2,119.59
AR,1985,3,123.87
AR,1985,4,124.33
AR,1986,1,125.66
AR,1986,2,128.28
AR,1986,3,126.3
AR,1986,4,128.04
AR,1987,1,129.09
AR,1987,2,130.79
AR,1987,3,127.93
AR,1987,4,124.1
AR,1988,1,126.53
AR,1988,2,127.22
AR,1988,3,126.82
AR,1988,4,126.27
AR,1989,1,127.23
AR,1989,2,126.77
AR,1989,3,128.18
AR,1989,4,127.04
AR,1990,1,127.67
AR,1990,2,127.92
AR,1990,3,128.76
AR,1990,4,128.14
AR,1991,1,129.44
AR,1991,2,130.24
AR,1991,3,131.35
AR,1991,4,133.53
AR,1992,1,134.56
AR,1992,2,133.78
AR,1992,3,136.32
AR,1992,4,137.09
AR,1993,1,138.28
AR,1993,2,140.43
AR,1993,3,142.94
AR,1993,4,144.65
AR,1994,1,147.63
AR,1994,2,148.83
AR,1994,3,150.38
AR,1994,4,151.94
AR,1995,1,152.37
AR,1995,2,156.62
AR,1995,3,158.63
AR,1995,4,159.25
AR,1996,1,161.87
AR,1996,2,162
AR,1996,3,161.9
AR,1996,4,163.74
AR,1997,1,165.11
AR,1997,2,166.74
AR,1997,3,167.46
AR,1997,4,169.53
AR,1998,1,171.51
AR,1998,2,171.51
AR,1998,3,174.19
AR,1998,4,176.31
AR,1999,1,176.96
AR,1999,2,177.23
AR,1999,3,177.9
AR,1999,4,178.58
AR,2000,1,179.46
AR,2000,2,181.17
AR,2000,3,182.2
AR,2000,4,184.68
AR,2001,1,189.23
AR,2001,2,190.4
AR,2001,3,192.4
AR,2001,4,194.31
AR,2002,1,195.14
AR,2002,2,196
AR,2002,3,199.16
AR,2002,4,201.61
AR,2003,1,203.15
AR,2003,2,204.37
AR,2003,3,206.91
AR,2003,4,209.98
AR,2004,1,212.62
AR,2004,2,216.22
AR,2004,3,219.7
AR,2004,4,223.59
AR,2005,1,226.69
AR,2005,2,231.85
AR,2005,3,237.01
AR,2005,4,240.25
AR,2006,1,243.95
AR,2006,2,247.29
AR,2006,3,249.81
AR,2006,4,252.08
AR,2007,1,254.28
AR,2007,2,255.91
AR,2007,3,255.39
AR,2007,4,256.79
AR,2008,1,256.53
AR,2008,2,255.64
AR,2008,3,252.63
AR,2008,4,253.88
AR,2009,1,256.24
AR,2009,2,252.93
AR,2009,3,248.82
AR,2009,4,247.89
AR,2010,1,244.46
AR,2010,2,245.08
AR,2010,3,246.03
AR,2010,4,244.44
AR,2011,1,240.86
AR,2011,2,239.35
AR,2011,3,241.35
AR,2011,4,242.76
AR,2012,1,242
AR,2012,2,239.5
AR,2012,3,243.21
AR,2012,4,244.62
